id,name,address,latitude,longitude,is_active,fuel_types,poi_types,food_types
5825,Gulf + • Varketili javakheti,"Tbilisi, Javakheti Str. #14",41.6849641649885,44.8698385203876,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,Coffee
5773,Gulf + • Varketili,"Gulf + • Varketili • 
Tbilisi, Javakheti Str. #50
(Self Service)",41.6848291,44.8694381,1,"Euro Diesel, G-Force Euro Diesel, G-Force Premium","CNG Station, Gas Station, Shop",
5774,Ortachala,Ortachala,41.681916361525,44.826694455378,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium","Gas Station, Shop",Coffee
5775,Ortachala,"Tbilisi,  adjacent to the access road to the car wash on Didi Kheivani Street",41.681811984684,44.8267407321715,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium","Gas Station, Shop","Coffee, Hot Dog, Sandwich"
5886,Ortachala,"Tbilisi,  adjacent to the access road to the car wash on Didi Kheivani Street",41.681811984684,44.8267407321715,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5870,Bronto,"Tbilisi, At the end of Javakheti Street, near the intersection of Moscow Avenue",41.6811919869661,44.8703992709875,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium, G-Force Super",Shop,"Coffee, Hot Dog, Sandwich"
5822,Gulf + • Gulua,"Tbilisi, Gulua Str.",41.6766141651757,44.8304185443765,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,"Coffee, Hot Dog"
5892,Joker,"Tbilisi, Dimitri Gulia Street, #22",41.6764580125844,44.83576,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5875,Dako,"Tbilisi,  Beri Gabriel Salosi Avenue #134",41.6723940154901,44.8669400000002,1,"Euro Diesel, Euro Regular, G-Force Euro Diesel, G-Force Euro Regular, G-Force Premium",Shop,"Coffee, Hot Dog, Sandwich"
5821,Gulf + • Gorgasali,"Tbilisi, Vakhtang Gorgsali Str. #117",41.6697819743121,44.8523600000004,1,"Euro Regular, G-Force Euro Diesel, G-Force Premium",Shop,Coffee
