id,name,address,region,district,latitude,longitude,fuel_types,services,payments
17,Tamarashvili,"Tbilisi, Mikheil Tamarashvili Street N6a",Tbilisi,Tbilisi,41.72059,44.74596,"Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",,"Cash, Bank card, Coupon, Fuel card, Energy card"
18,Tbilisis Zgva,Tbilisi Sea area,Tbilisi,Tbilisi,41.73644,44.83922,"CNG, Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Charger, WC, Way-Mart","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
19,Temka TMK,Tbilisi Gldani-Nadzaladevi / Chargli St. 01.12.03.015/068,Tbilisi,Tbilisi,41.77275,44.80262,"CNG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card, Energy card"
20,Isani,Tbilisi Isani-Samgori / Atskuri street,Tbilisi,Tbilisi,41.68858,44.8417,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Car Wash","Cash, Bank card, Coupon, Fuel card"
21,Kakhetis Gzatketsili 2,"Tbilisi, between the Kakheti highway and the railway sorting alley",Tbilisi,Tbilisi,41.68818,44.84481,CNG,"Way-Mart, WC","Cash, Bank card, Coupon, Energy card, Fast payment machine"
22,Kakhetis gzatketili,"Tbilisi, opposite the 8th Legion, opposite the Kakheti highway N44",Tbilisi,Tbilisi,41.68459,44.86638,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Service Center, WC","Cash, Bank card, Coupon, Fuel card, Energy card"
23,Lilo,"Tbilisi, Kakheti highway, between the gas station and the brewery under construction",Tbilisi,Tbilisi,41.68979,45.0096,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card, Energy card"
24,Marijani,"Tbilisi, Marijani Street N16",Tbilisi,Tbilisi,41.72155,44.73015,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Way-Mart,"Cash, Bank card"
25,Navtlugi 1,"Tbilisi, Moscow Avenue, near N10, on the left of the road leading to the meat processing plant",Tbilisi,Tbilisi,41.68117,44.8668,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card"
26,Natakhtari,Natakhtari/ village Misaktsieli,Tbilisi,Tbilisi,41.92897,44.73201,"Nano Premium, Nano Euro Regular, Nano Euro 5 Diesel, Euro 5 Diesel, LPG","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card, Energy card"
27,Ortachala 2,"Tbilisi, at the intersection of Ialbuzi street and the left bank",Tbilisi,Tbilisi,41.68437,44.82403,CNG,"Way-Mart, WC","Cash, Bank card, Coupon, Energy card, Fast payment machine"
